Number,Name,Missions,1,2,3,4,5,6,Boss
21,Disciple from the Darkness,DDNHD(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Sonic and Diablon
22,Beloved Clone,DDNHD(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Egg Dealer
23,Revenge Upon the Doctor,DDNHN(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
24,The Ultimate Replica,DDNHN(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
25,Sanction’s Demise,DDNHH(D),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer
26,Along With My Home,DDNHH(H),Westopolis,Digital Circuit,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Black Doom
27,The Cleansing of Darkness,DDHDD(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon
28,Birth of a God,DDHDD(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom
29,The Last Soldier’s Grim Fate,DDHDN(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon
30,Isolation and Solitude,DDHDN(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Egg Dealer
31,Archimedes and the Tortoise,DDHDH(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
32,Where Is My Happiness?,DDHDH(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
33,Seduced By Taste of Blood,DDHND(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon
34,A Machine Made for War,DDHND(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Egg Dealer
35,Original Definition,DDHNN(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
36,Machine Paradise,DDHNN(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
37,Last Will and Testament,DDHNH(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer
38,Enveloped in Solitude,DDHNH(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom
39,Parricidal Savior,DDHHD(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
40,Copy of a Savior,DDHHD(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
41,Excess of Intellect,DDHHN(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer
42,Crystallization of Intellect,DDHHN(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Black Doom
43,The Ultimate Confrontation,DDHHH(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon
44,Miracle of Love,DDHHH(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Black Doom
45,The World’s Demise,DHDDD(D),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon
46,The Ultimate Power,DHDDD(H),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,G.U.N. Fortress,Black Doom
47,Dyed in Lovely Darkness...,DHDDN(D),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,Black Comet,Sonic and Diablon
48,Vainglory or Abandonment?,DHDDN(H),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,Black Comet,Egg Dealer
49,Messenger of Ruination,DHDND(D),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon
50,Standing at the Summit,DHDND(H),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Black Doom
51,Controller from the Capsule,DHDNN(D),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Black Comet,Sonic and Diablon
52,Beyond One’s Own Power...,DHDNN(H),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Black Comet,Egg Dealer
53,A Clone’s Determination,DHDNH(D),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer
54,Machine Utopia,DHDNH(H),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer
55,A Toast to the Ruler,DHDHD(D),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Black Comet,Sonic and Diablon
56,Answer from the Black Comet,DHDHD(H),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Black Comet,Egg Dealer
57,Transcendentalism,DHDHN(D),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
58,Imperialism,DHDHN(H),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
59,The Weight of One’s Crimes,DHDHH(D),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer
60,Imprisoned by the Past...,DHDHH(H),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Black Doom
61,The Ultimate World Conquest,DHNDD(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon
62,Black Angel,DHNDD(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom
63,Under Darkness’ Control,DHNDN(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon
64,To Love Oneself,DHNDN(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Black Comet,Egg Dealer
65,Revenge and Determination,DHNDH(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
66,Birth of the Robot Emperor,DHNDH(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
67,"Shadow, the Black Android",DHNND(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon
68,A Solitary Android,DHNND(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Black Comet,Egg Dealer
69,Over the Original,DHNNN(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
70,Machine Sunshine,DHNNN(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
71,Life is Guilty,DHNNH(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer
72,Fallen Angel of Despair,DHNNH(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom
73,An Eternal Rival...,DHNHD(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
74,This is Just the Beginning,DHNHD(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
75,Crystal of Tragic Knowledge,DHNHN(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer
76,Shadow’s Second Death...?,DHNHN(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Black Doom
77,The Legend of Shadow,DHNHH(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon
78,Power of Love,DHNHH(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Final Haunt,Black Doom
79,Deep Black,DHHDD(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon
80,Walk My Way,DHHDD(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer
81,This is Shadow’s Way of Life,DHHDN(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer
82,A Monarch’s Style,DHHDN(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer
83,In the Gap of Sadness,DHHDH(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer
84,To Be Ignorant of the Past,DHHDH(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom
85,At Vengeance’s End,DHHND(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer
86,Machine Boys,DHHND(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer
87,Reborn Along with Sorrow,DHHNN(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer
88,With a Fate of Self-Denial,DHHNN(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom
89,I Am Shadow,DHHNH(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon
90,Shining Within Memory...,DHHNH(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Black Doom
91,The Rise and Fall of The ARK,DHHHN(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer
92,Requiem for a Fallen Angel,DHHHN(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom
93,Ultimate Shadow,DHHHH(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon
94,For Love’s Sake,DHHHH(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Black Doom
95,A Heart Awoken from Darkness,NDDDD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Sonic and Diablon
96,Destruction From Perfection,NDDDD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Black Doom
97,Darkness’ Strongest Soldier,NDDDN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,Black Comet,Sonic and Diablon
98,Severed Chains,NDDDN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,Black Comet,Egg Dealer
99,Retribution Against Humanity,NDDHD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Sonic and Diablon
100,To Be Known as ‘Ultimate’,NDDHD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Black Doom
101,Dark Warrior’s Advent,NDDHN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Black Comet,Sonic and Diablon
102,Arriving at the Ego,NDDHN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Black Comet,Egg Dealer
103,Determination of a Fake,NDDHH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer
104,Path to the Machine Empire,NDDHH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer
105,Demise Wrought by Tragedy,NDNDD(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon
106,Turning Sorrow Into Strength,NDNDD(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Black Doom
107,The Liberated Soldier,NDNDN(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,Black Comet,Sonic and Diablon
108,Stupefaction’s End,NDNDN(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,Black Comet,Egg Dealer
109,Humanity’s Folly,NDNND(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon
110,Surpassing All Else,NDNND(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Black Doom
111,Soldier of Grief,NDNNN(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Black Comet,Sonic and Diablon
112,Reclaimed Heart,NDNNN(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Black Comet,Egg Dealer
113,Fighting Spirit of Steel,NDNNH(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer
114,Machine Soldier Uprising,NDNNH(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer
115,The Devil Born From Betrayal,NDNHD(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Sonic and Diablon
116,Beyond the Truth of Impact,NDNHD(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Egg Dealer
117,The Immortal Android,NDNHN(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
118,"The New, Coldhearted Empire",NDNHN(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
119,A Singular Atonement,NDNHH(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer
120,Spawn of the Devil,NDNHH(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Black Doom
121,Black Doom’s Scheme,NDHDD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon
122,Subjugating Heaven and Earth,NDHDD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom
123,Road of the Dark Soldier,NDHDN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon
124,Dark Finale,NDHDN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Egg Dealer
125,Realization While On Board,NDHDH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
126,Birth of a Champion,NDHDH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
127,With the Black Arms,NDHND(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon
128,The Road to Self-Assurance,NDHND(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Egg Dealer
129,The Pursuit of Dr. Eggman,NDHNN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
130,Surpassing His Creator,NDHNN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
131,"ARK, Colony of Pathos",NDHNH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer
132,Perfection Lost to Darkness,NDHNH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom
133,A New Challenge,NDHHD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
134,The Machines’ Coup d’Etat,NDHHD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
135,A Vow for the Victims,NDHHN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer
136,The Truth of Sadness,NDHHN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Black Doom
137,The Destined Sonic Showdown,NDHHH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon
138,The Black Hero’s Rebirth,NDHHH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Black Doom
139,"Truth, Thy Name is Vengeance",NNDDD(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon
140,Searching for 'Ultimate',NNDDD(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,G.U.N. Fortress,Black Doom
141,Reborn Hatred for Humanity,NNDDN(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,Black Comet,Sonic and Diablon
142,A Future Taken from the Past,NNDDN(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,Black Comet,Egg Dealer
143,The Devils' Victory Song,NNDND(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon
144,One to Succeed a God,NNDND(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Black Doom
145,Disappointed in Humanity,NNDNN(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Black Comet,Sonic and Diablon
146,Faith Taken from Solitude,NNDNN(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Black Comet,Egg Dealer
147,Planted Memories,NNDNH(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer
148,To Unite Humanity,NNDNH(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer
149,Isolated Soldier Shadow,NNDHD(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Black Comet,Sonic and Diablon
150,Answer Derived from Truth,NNDHD(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Black Comet,Egg Dealer
151,A Fake’s Disposition,NNDHN(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
152,A New World Without Betrayal,NNDHN(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer
153,Together With Maria...,NNDHH(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer
154,The Tragedy’s Conclusion,NNDHH(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Black Doom
155,The Day That Hope Died,NNNDD(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon
156,Dark Destroyer,NNNDD(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom
157,Diabolical Power,NNNDN(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon
158,For Freedom,NNNDN(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Black Comet,Egg Dealer
159,"At Least, Be Like Shadow...",NNNDH(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
160,Seeking a Silent Paradise,NNNDH(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
161,The Lion’s Awakening,NNNND(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon
162,Identity,NNNND(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Black Comet,Egg Dealer
163,An Android’s Rebellion,NNNNN(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
164,A New Empire’s Beginning,NNNNN(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer
165,Bullets from Tears,NNNNH(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer
166,Journey to Nihility,NNNNH(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom
167,Shadow Surpassing Shadow,NNNHD(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
168,Dr. Eggman’s Miscalculation,NNNHD(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer
169,Along With the ARK,NNNHN(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer
170,Requiem for the Heavens,NNNHN(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Black Doom
171,Sonic Dethroned!,NNNHH(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon
172,Justice Reborn in Space,NNNHH(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Final Haunt,Black Doom
173,Steel Ruler,NNHDD(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon
174,For the Sake of the Self,NNHDD(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer
175,Farewell to the Past,NNHDN(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer
176,Steel Paradise,NNHDN(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer
177,The Guardian With No Past,NNHDH(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer
178,The Ultimate Atonement,NNHDH(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom
179,A Fake’s Aspiration,NNHND(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer
180,Machine World,NNHND(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer
181,Twilight Ark,NNHNN(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer
182,Compensation for a Miracle,NNHNN(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom
183,The Strongest Hedgehog,NNHNH(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon
184,The Ultimate Punisher,NNHNH(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Black Doom
185,Voyage of Reminiscence,NNHHN(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer
186,Wandering’s End,NNHHN(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom
187,The Ultimate Proof,NNHHH(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon
188,Punisher of Love,NNHHH(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Black Doom
189,Messenger from the Darkness,NHDDD(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon
190,The New Ruler,NHDDD(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom
191,Dark Soldier,NHDDN(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon
192,The Road of Light,NHDDN(H),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Black Comet,Egg Dealer
193,The Machine-Laden Kingdom,NHDDH(D),Westopolis,Glyphic Canyon,Circus Park,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer
